Term1;Term2;TermFragment;TermType;TermFrequency1;TermFrequency2;inHeader1;inHeader2;Pattern
УКАЗАТЕЛЬ;ССЫЛКА;указатели (ссылки);SynTerm;31;10;False;False;N-N
СТРЕЛКА;УКАЗАТЕЛЬ;стрелки (указатели);SynTerm;3;31;False;False;N-N
МАКРОС;МАКРОФУНКЦИЯ;макросов, или макрофункций;SynTerm;32;12;False;False;N-N
РАСШИРЕНИЕ;РАСКРЫТИЕ;Расширение (раскрытие);SynTerm;17;2;False;False;N-N
СПИСОЧНАЯ ЯЧЕЙКА;СПИСОЧНАЯ ПАМЯТЬ;списочные ячейки (списочная память);SynTerm;39;14;False;False;AN-AN
СПИСОК;ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ;списка (функционального вызова);SynTerm;449;38;True;False;N-AN
ЛЯМБДА-ВЫРАЖЕНИЕ;ФУНКЦИОНАЛЬНЫЙ АРГУМЕНТ;лямбда-выражение (функциональный аргумент);SynTerm;67;40;False;True;N-AN
ПОСЛЕДОВАТЕЛЬНОСТЬ СИМВОЛОВ;ЛИТЕР;последовательность символов (литер);SynTerm;2;2;False;False;NN-N
ИМЯ ФУНКЦИИ;СИМВОЛЬНЫЙ АТОМ;имя функции (символьный атом);SynTerm;44;54;False;False;NN-AN
ФУНКЦИОНАЛЬНЫЙ АРГУМЕНТ;ФУНКЦИЯ;функциональный аргумент (функцию);SynTerm;40;2624;True;True;AN-N
ТАБЛИЦА СИМВОЛЬНЫХ АТОМОВ;ТАБЛИЦА СИМВОЛОВ;таблицу символьных атомов (таблицу символов);SynTerm;4;3;False;False;NAN-NN
