Term;TermFragment;TermType;TermFrequency;TermRule;TermRepeatRule
ОСОБАЯ ФУНКЦИЯ;лисповские особые функции;CombTermComponent;289;0;0
НУЖНЫЙ ВЫЗОВ;нужный функциональный вызов;CombTermComponent;1;0;0
ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ;нужный функциональный вызов;CombTermComponent;841;0;0
ВЫЧИСЛИМОЕ ВЫРАЖЕНИЕ;вычислимое лисповское выражение;CombTermComponent;9;0;0
ОБЫЧНАЯ ФОРМА;обычной лисповской формой;CombTermComponent;1;0;0
СТРОГОЕ ЧИСЛО;строго фиксированное число;CombTermComponent;1;0;0
ФИКСИРОВАВШЕЕ ЧИСЛО;строго фиксированное число;CombTermComponent;1;0;0
ОБЫЧНАЯ ФУНКЦИЯ;обычных встроенных функций;CombTermComponent;196;0;0
ВСТРОИВШАЯ ФУНКЦИЯ;обычных встроенных функций;CombTermComponent;1;0;0
ОСОБАЯ ФУНКЦИЯ;особая встроенная функция;CombTermComponent;289;0;0
ВСТРОИВШАЯ ФУНКЦИЯ;особая встроенная функция;CombTermComponent;1;0;0
УКАЗАННОЕ ВЫРАЖЕНИЕ;указанным определяющим выражением;CombTermComponent;1;0;0
ОПРЕДЕЛЯЮЩЕЕ ВЫРАЖЕНИЕ;указанным определяющим выражением;CombTermComponent;1;0;0
АЦИКЛИЧЕСКИЙ ГРАФ;ациклический ориентированный граф;CombTermComponent;1;0;0
ОРИЕНТИРОВАВШИЙ ГРАФ;ациклический ориентированный граф;CombTermComponent;1;0;0
ОБЪЕМЛЮЩАЯ ФУНКЦИЯ;объемлющей вычисляемой функции;CombTermComponent;1;0;0
ВЫЧИСЛЯЮЩАЯ ФУНКЦИЯ;объемлющей вычисляемой функции;CombTermComponent;1;0;0
ВЫШЕ ФУНКЦИЯ;выше встроенных функций;CombTermComponent;1;0;0
ВСТРОИВШАЯ ФУНКЦИЯ;выше встроенных функций;CombTermComponent;1;0;0
ВЛОЖИВШИЙ ВЫЗОВ;вложенные функциональные вызовы;CombTermComponent;1;0;0
ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ;вложенные функциональные вызовы;CombTermComponent;841;0;0
ВСТРОИВШАЯ ФУНКЦИЯ;встроенных лисповских функций;CombTermComponent;1;0;0
ЛИСПОВСКАЯ ФУНКЦИЯ;встроенных лисповских функций;CombTermComponent;49;0;0
ИСКЛЮЧИВШАЯ СКОБКА;исключены внешние скобки;CombTermComponent;1;0;0
ВНЕШНЯЯ СКОБКА;исключены внешние скобки;CombTermComponent;4;0;0
ВСТРОИВШАЯ ФУНКЦИЯ;встроенная особая функция;CombTermComponent;1;0;0
ОСОБАЯ ФУНКЦИЯ;встроенная особая функция;CombTermComponent;289;0;0
ВСТРОИВШАЯ ФУНКЦИЯ;встроенные логические функции;CombTermComponent;1;0;0
ЛОГИЧЕСКАЯ ФУНКЦИЯ;встроенные логические функции;CombTermComponent;4;0;0
ОТЛОЖИВШИЙ ВЫЗОВ;отложенных функциональных вызовов;CombTermComponent;1;0;0
ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ;отложенных функциональных вызовов;CombTermComponent;841;0;0
ПОКАЗАВШЕЕ ПРЕДСТАВЛЕНИЕ;показано внутреннее представление;CombTermComponent;1;0;0
СУЩЕСТВУЮЩАЯ СТРУКТУРА;существующей списочной структурой;CombTermComponent;1;0;0
СПИСОЧНАЯ СТРУКТУРА;существующей списочной структурой;CombTermComponent;324;0;0
СУЩЕСТВУЮЩАЯ ЯЧЕЙКА;существующих списочных ячеек;CombTermComponent;1;0;0
СПИСОЧНАЯ ЯЧЕЙКА;существующих списочных ячеек;CombTermComponent;841;0;0
УКАЗАВШИЙ ЭФФЕКТ;указанных побочных эффектов;CombTermComponent;1;0;0
ПОБОЧНЫЙ ЭФФЕКТ;указанных побочных эффектов;CombTermComponent;144;0;0
ОТЛОЖИВШИЙ ВЫЗОВ;отложенных рекурсивных вызовов;CombTermComponent;1;0;0
РЕКУРСИВНЫЙ ВЫЗОВ;отложенных рекурсивных вызовов;CombTermComponent;625;0;0
НАЗЫВАЮЩАЯ РЕКУРСИЯ;называемую хвостовую рекурсию;CombTermComponent;1;0;0
ХВОСТОВАЯ РЕКУРСИЯ;называемую хвостовую рекурсию;CombTermComponent;64;0;0
ПОЛУЧАЮЩАЯСЯ ЗАВИСИМОСТЬ;Получающуюся квадратичную зависимость;CombTermComponent;1;0;0
КВАДРАТИЧНАЯ ЗАВИСИМОСТЬ;Получающуюся квадратичную зависимость;CombTermComponent;1;0;0
ВЫРОВНЯВШЕЕ ПОДДЕРЕВО;выровненное правое поддерево;CombTermComponent;1;0;0
ПРАВОЕ ПОДДЕРЕВО;выровненное правое поддерево;CombTermComponent;25;0;0
ВЛОЖИВШИЙ ВЫЗОВ;вложенных рекурсивных вызовов;CombTermComponent;1;0;0
РЕКУРСИВНЫЙ ВЫЗОВ;вложенных рекурсивных вызовов;CombTermComponent;625;0;0
ВСТРОИВШАЯ ФОРМА;встроена специальная форма;CombTermComponent;1;0;0
СПЕЦИАЛЬНАЯ ФОРМА;встроена специальная форма;CombTermComponent;1;0;0
НАЗЫВАЮЩИЙ ПАРАМЕТР;называемых ключевых параметров;CombTermComponent;1;0;0
КЛЮЧЕВОЙ ПАРАМЕТР;называемых ключевых параметров;CombTermComponent;16;0;0
ВОЗНИКНУВШАЯ СКОБКА;возникшие лишние скобки;CombTermComponent;1;0;0
ЛИШНЯЯ СКОБКА;возникшие лишние скобки;CombTermComponent;9;0;0
